disaster_type,severity_score,affected_population,country,gdp_per_capita,infrastructure_density,casualties,economic_damage_million_usd
earthquake,0.014,42926,Pakistan,1500,0.852,2,0.0
wildfire,0.455,55566,Japan,40000,0.616,89,1.68
hurricane,0.57,39783,Mexico,10000,0.381,222,0.24
tornado,0.919,10320,Brazil,8700,0.948,48,0.13
tsunami,0.634,18059,Brazil,8700,0.287,59,0.12
flood,0.764,70127,Bangladesh,2500,0.158,203,0.07
drought,0.574,2391,Pakistan,1500,0.459,4,0.0
hurricane,0.366,41242,Turkey,9600,0.366,148,0.24
flood,0.24,10345,Chile,15000,0.769,15,0.07
landslide,0.777,14499,Pakistan,1500,0.69,32,0.01
tornado,0.94,10635,China,12500,0.263,69,0.09
flood,0.409,104657,Brazil,8700,0.67,159,0.26
tsunami,0.031,107773,Nigeria,2100,0.347,5,0.01
tornado,0.182,2177,China,12500,0.919,1,0.01
flood,0.073,21146,Brazil,8700,0.587,5,0.03
earthquake,0.508,31957,Indonesia,4300,0.428,28,0.1
tornado,0.362,188266,Philippines,3500,0.218,389,0.3
wildfire,0.228,14032,Philippines,3500,0.463,26,0.01
tsunami,0.212,1788,Pakistan,1500,0.571,3,0.0
tsunami,0.228,53916,Turkey,9600,0.483,55,0.13
tornado,0.519,57367,China,12500,0.427,156,0.16
flood,0.103,37095,Haiti,1400,0.618,6,0.01
drought,0.438,86093,Philippines,3500,0.488,330,0.17
tornado,0.392,1958,Chile,15000,0.307,10,0.02
drought,0.669,26990,Nigeria,2100,0.588,58,0.04
tornado,0.869,73155,Indonesia,4300,0.129,316,0.14
volcano,0.594,108293,Indonesia,4300,0.462,250,0.22
volcano,0.077,3979,China,12500,0.219,1,0.0
flood,0.507,77690,Nigeria,2100,0.852,224,0.08
drought,0.806,120153,Philippines,3500,0.845,744,0.55
earthquake,0.119,198194,Turkey,9600,0.244,256,0.13
hurricane,0.638,71991,Indonesia,4300,0.214,323,0.08
tsunami,0.126,5209,Nigeria,2100,0.202,4,0.0
earthquake,0.038,44383,Australia,55000,0.572,4,0.08
landslide,0.226,21107,Haiti,1400,0.519,16,0.01
tsunami,0.741,22046,Nigeria,2100,0.954,59,0.06
earthquake,0.618,39216,Brazil,8700,0.968,126,0.14
hurricane,0.019,2170,Brazil,8700,0.646,0,0.0
flood,0.456,85169,Nepal,1200,0.995,138,0.05
hurricane,0.614,118156,Mexico,10000,0.986,431,1.36
earthquake,0.18,23339,Indonesia,4300,0.255,33,0.01
tornado,0.147,89625,Bangladesh,2500,0.679,66,0.05
tsunami,0.132,4910,USA,63000,0.911,0,0.08
wildfire,0.754,9439,Nepal,1200,0.352,95,0.01
earthquake,0.984,25060,Brazil,8700,0.496,56,0.24
flood,0.776,10426,Japan,40000,0.781,10,0.3
tsunami,0.985,40294,India,2100,0.812,176,0.1
hurricane,0.15,44792,Haiti,1400,0.869,30,0.01
flood,0.52,101868,Turkey,9600,0.777,111,0.63
earthquake,0.118,38657,China,12500,0.687,29,0.05
earthquake,0.835,51257,Nepal,1200,0.377,146,0.03
drought,0.692,115758,Chile,15000,0.177,501,1.07
volcano,0.548,10630,Philippines,3500,0.127,20,0.02
landslide,0.798,25367,USA,63000,0.37,30,0.53
tsunami,0.817,47532,Mexico,10000,0.656,113,0.71
earthquake,0.225,9753,Nigeria,2100,0.857,3,0.0
tsunami,0.587,33103,China,12500,0.323,138,0.35
wildfire,0.903,133146,Pakistan,1500,0.424,1622,0.11
earthquake,0.251,2708,Chile,15000,0.878,1,0.01
landslide,0.303,10694,Haiti,1400,0.239,57,0.0
volcano,0.124,83102,Australia,55000,0.361,18,0.18
wildfire,0.321,26402,Pakistan,1500,0.185,18,0.02
tornado,0.13,151612,Chile,15000,0.865,46,0.26
earthquake,0.992,28655,India,2100,0.406,217,0.04
earthquake,0.444,157050,Nepal,1200,0.727,348,0.06
flood,0.817,126844,Indonesia,4300,0.27,325,0.32
wildfire,0.774,44849,Indonesia,4300,0.625,109,0.11
tornado,0.646,5016,Japan,40000,0.578,5,0.1
volcano,0.494,83775,Nepal,1200,0.108,255,0.03
tsunami,0.086,23182,USA,63000,0.832,5,0.14
wildfire,0.41,28667,Australia,55000,0.528,8,0.58
tornado,0.048,117662,Mexico,10000,0.123,21,0.02
volcano,0.39,21889,Nepal,1200,0.508,41,0.02
drought,0.73,6216,Chile,15000,0.203,61,0.04
tsunami,0.47,22771,Nigeria,2100,0.769,91,0.03
tsunami,0.033,38900,Turkey,9600,0.753,6,0.03
volcano,0.51,59170,Philippines,3500,0.718,134,0.3
tsunami,0.694,110086,Indonesia,4300,0.283,831,0.33
flood,0.715,107078,Nigeria,2100,0.156,369,0.07
flood,0.847,48566,Chile,15000,0.408,106,0.74
wildfire,0.943,10906,India,2100,0.509,53,0.03
hurricane,0.147,88711,Nepal,1200,0.988,61,0.01
tornado,0.69,88108,Haiti,1400,0.142,746,0.05
tornado,0.115,74534,Philippines,3500,0.563,72,0.09
landslide,0.194,184758,Nigeria,2100,0.737,116,0.24
tornado,0.799,4327,Chile,15000,0.334,8,0.03
drought,0.736,3298,India,2100,0.823,13,0.01
hurricane,0.733,1236,Chile,15000,0.931,2,0.02
tsunami,0.784,2765,Indonesia,4300,0.541,9,0.02
volcano,0.767,8096,Turkey,9600,0.415,24,0.03
flood,0.714,47581,China,12500,0.974,174,0.48
tornado,0.558,53570,Turkey,9600,0.826,30,0.34
earthquake,0.114,111414,Philippines,3500,0.578,45,0.06
wildfire,0.622,27554,Brazil,8700,0.814,37,0.19
landslide,0.434,16544,India,2100,0.647,92,0.02
wildfire,0.262,51469,Indonesia,4300,0.903,84,0.04
landslide,0.98,155853,China,12500,0.871,436,3.06
earthquake,0.33,18812,Bangladesh,2500,0.771,61,0.02
earthquake,0.158,6917,Mexico,10000,0.959,3,0.02
flood,0.292,61240,Turkey,9600,0.989,94,0.15
tsunami,0.852,23545,Indonesia,4300,0.545,65,0.12
earthquake,0.843,14682,China,12500,0.918,53,0.21
hurricane,0.066,29980,Chile,15000,0.274,14,0.02
flood,0.099,77833,Philippines,3500,0.928,16,0.03
wildfire,0.249,5210,Bangladesh,2500,0.713,3,0.01
hurricane,0.542,48781,Mexico,10000,0.835,90,0.98
tsunami,0.269,868,China,12500,0.894,1,0.0
hurricane,0.728,11225,Japan,40000,0.413,52,0.45
drought,0.37,63547,Bangladesh,2500,0.215,240,0.1
earthquake,0.61,89213,India,2100,0.153,1156,0.06
earthquake,0.3,39381,Bangladesh,2500,0.385,51,0.05
tornado,0.904,5744,Pakistan,1500,0.446,30,0.01
tornado,0.771,17209,Mexico,10000,0.423,36,0.2
tornado,0.39,170719,Japan,40000,0.791,169,3.73
wildfire,0.606,38261,USA,63000,0.924,33,2.23
hurricane,0.856,27701,Haiti,1400,0.868,136,0.05
volcano,0.264,132578,Australia,55000,0.477,63,1.96
tsunami,0.304,4098,Indonesia,4300,0.51,3,0.01
volcano,0.934,8342,Mexico,10000,0.81,53,0.1
tsunami,0.578,18362,Turkey,9600,0.154,21,0.07
volcano,0.626,42321,China,12500,0.485,109,0.63
earthquake,0.682,6690,Nigeria,2100,0.562,14,0.01
earthquake,0.117,5470,Turkey,9600,0.817,5,0.01
flood,0.654,7784,Nepal,1200,0.245,35,0.01
hurricane,0.705,52296,Bangladesh,2500,0.545,326,0.1
volcano,0.196,11855,Brazil,8700,0.819,39,0.03
landslide,0.089,6624,Bangladesh,2500,0.738,2,0.0
tornado,0.546,99507,Mexico,10000,0.793,104,1.07
tsunami,0.742,20672,Haiti,1400,0.847,94,0.04
earthquake,0.903,4772,Haiti,1400,0.668,36,0.01
landslide,0.149,54411,Nepal,1200,0.763,69,0.01
earthquake,0.978,35273,Japan,40000,0.33,92,1.93
wildfire,0.972,42966,India,2100,0.292,129,0.07
tsunami,0.348,9662,USA,63000,0.49,5,0.27
earthquake,0.487,95394,China,12500,0.764,134,0.74
landslide,0.967,36432,Indonesia,4300,0.152,297,0.12
landslide,0.066,253579,Turkey,9600,0.294,106,0.05
hurricane,0.076,106088,Nepal,1200,0.374,39,0.01
volcano,0.069,36638,Australia,55000,0.916,3,0.19
wildfire,0.825,22893,Mexico,10000,0.625,123,0.33
earthquake,0.293,13211,Pakistan,1500,0.578,25,0.01
volcano,0.265,72882,Turkey,9600,0.201,164,0.21
drought,0.829,26959,Nepal,1200,0.944,58,0.02
earthquake,0.679,26573,Bangladesh,2500,0.925,33,0.1
drought,0.783,37183,Haiti,1400,0.619,487,0.09
drought,0.643,55850,USA,63000,0.522,44,2.81
hurricane,0.302,63381,Japan,40000,0.794,106,1.89
earthquake,0.696,64349,China,12500,0.147,187,0.24
tsunami,0.87,38476,Haiti,1400,0.889,127,0.21
volcano,0.605,76855,Chile,15000,0.879,121,0.71
landslide,0.464,7760,India,2100,0.308,14,0.0
flood,0.035,968,Pakistan,1500,0.361,0,0.0
hurricane,0.886,67399,Brazil,8700,0.543,232,0.55
tsunami,0.469,25201,Haiti,1400,0.227,127,0.02
tsunami,0.444,14304,Bangladesh,2500,0.579,23,0.02
earthquake,0.246,18033,Nepal,1200,0.788,11,0.01
flood,0.678,61976,Haiti,1400,0.323,345,0.05
hurricane,0.104,21513,India,2100,0.92,11,0.01
landslide,0.284,23919,Nigeria,2100,0.248,45,0.01
tsunami,0.68,950,Haiti,1400,0.935,3,0.0
flood,0.021,44530,Brazil,8700,0.268,9,0.01
earthquake,0.067,17015,Nigeria,2100,0.784,4,0.0
landslide,0.702,77367,Nigeria,2100,0.375,734,0.18
flood,0.99,6381,Mexico,10000,0.738,32,0.17
wildfire,0.993,47542,Nepal,1200,0.906,508,0.05
tsunami,0.942,63838,Japan,40000,0.179,331,2.0
flood,0.61,1103,Indonesia,4300,0.185,4,0.0
earthquake,0.77,9439,Australia,55000,0.225,15,0.24
volcano,0.85,78694,Japan,40000,0.457,149,2.36
tornado,0.445,39858,Pakistan,1500,0.99,39,0.03
earthquake,0.981,75344,Nepal,1200,0.829,111,0.11
wildfire,0.809,46450,Chile,15000,0.752,229,0.51
volcano,0.814,31007,China,12500,0.244,190,0.12
earthquake,0.196,8949,Japan,40000,0.167,5,0.04
tornado,0.487,14376,Brazil,8700,0.461,39,0.14
landslide,0.622,90447,India,2100,0.959,179,0.09
drought,0.054,17585,Pakistan,1500,0.11,13,0.0
drought,0.083,147433,Japan,40000,0.932,22,0.5
flood,0.491,17519,China,12500,0.825,31,0.11
drought,0.752,8772,Mexico,10000,0.729,104,0.07
hurricane,0.471,34234,Japan,40000,0.744,35,0.66
wildfire,0.677,33289,Turkey,9600,0.56,53,0.14
tornado,0.737,3393,Bangladesh,2500,0.965,10,0.01
tsunami,0.119,34826,Nepal,1200,0.117,40,0.0
tsunami,0.085,103681,India,2100,0.711,24,0.02
tornado,0.91,30525,Mexico,10000,0.39,213,0.36
hurricane,0.923,3884,Bangladesh,2500,0.605,23,0.02
tsunami,0.541,15783,Pakistan,1500,0.245,90,0.01
volcano,0.818,26217,Australia,55000,0.358,33,1.65
tsunami,0.376,22776,Mexico,10000,0.719,41,0.08
wildfire,0.905,23179,Japan,40000,0.894,51,0.52
wildfire,0.447,1831,Haiti,1400,0.757,1,0.0
landslide,0.497,71334,Pakistan,1500,0.708,234,0.06
flood,0.292,100800,Australia,55000,0.21,160,0.9
wildfire,0.061,100795,Philippines,3500,0.245,42,0.01
volcano,0.928,58689,Mexico,10000,0.112,328,0.31
hurricane,0.283,6284,Nigeria,2100,0.524,32,0.0
tornado,0.312,26809,Nepal,1200,0.678,14,0.02
hurricane,0.193,93017,India,2100,0.251,111,0.08
earthquake,0.517,110616,Pakistan,1500,0.436,65,0.11
earthquake,0.699,86226,Indonesia,4300,0.985,254,0.14
hurricane,0.822,95724,Nigeria,2100,0.561,1115,0.11
tsunami,0.643,226806,Australia,55000,0.506,307,2.72
tsunami,0.979,73516,Mexico,10000,0.936,108,2.19
landslide,0.117,2551,Nepal,1200,0.171,2,0.0
drought,0.442,8200,Turkey,9600,0.952,29,0.06
tornado,0.959,131648,Australia,55000,0.283,126,2.7
tornado,0.049,52578,Bangladesh,2500,0.555,29,0.01
drought,0.305,8281,Haiti,1400,0.302,33,0.0
earthquake,0.897,40088,Chile,15000,0.205,83,0.27
volcano,0.217,75383,Chile,15000,0.553,78,0.15
earthquake,0.497,103470,Bangladesh,2500,0.7,629,0.52
flood,0.015,71889,Haiti,1400,0.511,17,0.0
earthquake,0.618,193084,Nigeria,2100,0.845,300,0.36
drought,0.179,39312,Mexico,10000,0.881,44,0.09
tornado,0.471,1117,USA,63000,0.918,0,0.03
hurricane,0.658,40296,India,2100,0.449,244,0.04
tsunami,0.334,60790,Indonesia,4300,0.85,131,0.07
flood,0.851,5616,India,2100,0.547,33,0.01
flood,0.995,65227,Haiti,1400,0.409,691,0.05
tornado,0.426,115982,Turkey,9600,0.23,138,0.63
tsunami,0.595,4151,Turkey,9600,0.877,11,0.03
tornado,0.975,91064,Indonesia,4300,0.36,295,0.21
earthquake,0.732,31435,Japan,40000,0.812,44,2.01
flood,0.787,23441,Australia,55000,0.383,20,0.3
landslide,0.516,42939,Brazil,8700,0.9,159,0.51
earthquake,0.219,135984,Philippines,3500,0.698,137,0.26
hurricane,0.102,10059,Haiti,1400,0.916,7,0.0
tsunami,0.863,82034,Japan,40000,0.372,508,3.68
volcano,0.609,43935,China,12500,0.796,90,0.24
flood,0.068,8925,Philippines,3500,0.15,9,0.0
hurricane,0.062,100028,Turkey,9600,0.747,29,0.07
landslide,0.259,6192,India,2100,0.409,7,0.01
flood,0.704,6276,Philippines,3500,0.481,19,0.04
hurricane,0.789,42852,China,12500,0.704,120,0.34
earthquake,0.258,24010,Pakistan,1500,0.512,31,0.01
hurricane,0.651,11308,Haiti,1400,0.642,48,0.02
tsunami,0.583,734,Australia,55000,0.95,0,0.06
hurricane,0.842,20855,Haiti,1400,0.163,170,0.01
earthquake,0.432,46081,Brazil,8700,0.349,222,0.04
wildfire,0.549,37504,Japan,40000,0.887,10,2.05
tsunami,0.653,77204,China,12500,0.58,244,0.67
wildfire,0.849,2654,Brazil,8700,0.382,8,0.02
tsunami,0.565,19753,Pakistan,1500,0.112,39,0.02
wildfire,0.696,4248,Mexico,10000,0.323,5,0.06
flood,0.516,6460,USA,63000,0.425,11,0.14
drought,0.717,32510,USA,63000,0.767,23,1.95
tornado,0.874,43381,India,2100,0.166,218,0.1
earthquake,0.966,52677,Chile,15000,0.664,89,1.39
earthquake,0.069,27114,Nepal,1200,0.996,5,0.0
volcano,0.773,2073,Nepal,1200,0.767,34,0.0
hurricane,0.231,91580,Bangladesh,2500,0.499,454,0.04
drought,0.704,36483,Australia,55000,0.561,39,1.32
hurricane,0.945,64309,Turkey,9600,0.921,246,0.34
flood,0.051,132341,Bangladesh,2500,0.914,24,0.02
earthquake,0.03,93916,Nepal,1200,0.851,16,0.0
drought,0.725,85808,Chile,15000,0.796,234,1.06
wildfire,0.109,27745,Mexico,10000,0.447,28,0.01
volcano,0.909,94437,Indonesia,4300,0.183,243,0.18
landslide,0.555,12375,Turkey,9600,0.17,53,0.04
flood,0.663,12854,India,2100,0.423,77,0.03
tornado,0.683,53634,Bangladesh,2500,0.698,175,0.1
landslide,0.816,109347,USA,63000,0.378,174,3.94
hurricane,0.577,7114,Turkey,9600,0.153,17,0.01
drought,0.695,40495,Mexico,10000,0.257,326,0.33
tornado,0.375,52971,Mexico,10000,0.203,146,0.19
tsunami,0.009,27960,Pakistan,1500,0.358,1,0.0
flood,0.202,122575,Nepal,1200,0.491,51,0.02
landslide,0.942,86218,Brazil,8700,0.294,108,0.54
hurricane,0.883,37131,Haiti,1400,0.146,227,0.05
tsunami,0.87,45741,Brazil,8700,0.188,286,0.26
volcano,0.974,16973,Pakistan,1500,0.193,49,0.02
tsunami,0.991,108672,Brazil,8700,0.987,448,1.79
wildfire,0.701,10867,China,12500,0.395,86,0.06
tsunami,0.656,52366,India,2100,0.484,239,0.06
hurricane,0.385,9628,China,12500,0.938,4,0.05
tornado,0.689,45798,Turkey,9600,0.249,85,0.21
tornado,0.283,10533,India,2100,0.74,26,0.01
wildfire,0.879,16859,Australia,55000,0.642,17,0.98
earthquake,0.203,23155,Japan,40000,0.77,6,0.14
tornado,0.283,20685,Nigeria,2100,0.603,18,0.01
wildfire,0.958,124240,Haiti,1400,0.478,773,0.19
volcano,0.571,101455,Chile,15000,0.784,119,0.54
earthquake,0.468,35934,Philippines,3500,0.537,116,0.08
landslide,0.34,23787,USA,63000,0.409,10,0.23
drought,0.431,3217,Philippines,3500,0.926,10,0.0
landslide,0.931,125526,Chile,15000,0.781,289,1.1
volcano,0.225,73329,Australia,55000,0.868,17,0.88
hurricane,0.314,142200,Mexico,10000,0.733,163,0.68
tsunami,0.618,69834,Mexico,10000,0.488,148,0.7
tornado,0.697,73154,Chile,15000,0.312,111,0.4
flood,0.075,38003,China,12500,0.659,22,0.05
tsunami,0.835,90683,Australia,55000,0.675,122,6.17
wildfire,0.778,46350,Australia,55000,0.932,23,2.46
drought,0.096,39965,India,2100,0.636,24,0.01
wildfire,0.442,45404,Bangladesh,2500,0.717,86,0.07
wildfire,0.851,22148,Mexico,10000,0.25,66,0.19
earthquake,0.479,112782,Japan,40000,0.323,118,1.68
earthquake,0.832,55546,Philippines,3500,0.247,546,0.09
drought,0.444,61346,Nigeria,2100,0.74,214,0.1
landslide,0.094,46508,Pakistan,1500,0.902,10,0.01
flood,0.116,71732,India,2100,0.707,82,0.05
earthquake,0.842,815,Japan,40000,0.954,0,0.02
wildfire,0.898,2810,Brazil,8700,0.919,5,0.03
tsunami,0.383,133556,Philippines,3500,0.601,468,0.26
landslide,0.657,6503,Philippines,3500,0.747,13,0.04
landslide,0.162,71837,Haiti,1400,0.349,190,0.01
hurricane,0.686,26852,Japan,40000,0.271,87,0.56
wildfire,0.311,97258,Turkey,9600,0.326,111,0.14
wildfire,0.751,29139,Nigeria,2100,0.287,132,0.02
tornado,0.633,42171,China,12500,0.224,189,0.18
flood,0.919,29502,Nepal,1200,0.762,138,0.03
wildfire,0.714,33458,USA,63000,0.707,100,1.5
tornado,0.245,7762,Australia,55000,0.103,2,0.07
earthquake,0.55,40720,India,2100,0.531,75,0.08
hurricane,0.005,9004,Nepal,1200,0.422,0,0.0
hurricane,0.406,35687,Turkey,9600,0.871,68,0.05
earthquake,0.659,106811,Mexico,10000,0.599,443,0.38
earthquake,0.291,57717,USA,63000,0.411,32,0.79
hurricane,0.743,11179,Nigeria,2100,0.865,28,0.02
volcano,0.194,99079,India,2100,0.552,138,0.04
hurricane,0.54,4894,Bangladesh,2500,0.275,38,0.01
hurricane,0.112,16889,Mexico,10000,0.291,3,0.01
wildfire,0.068,3941,Nigeria,2100,0.244,1,0.0
volcano,0.126,10374,Bangladesh,2500,0.232,2,0.0
flood,0.751,30213,Pakistan,1500,0.905,88,0.03
wildfire,0.187,27272,Japan,40000,0.713,20,0.1
landslide,0.814,14477,Mexico,10000,0.753,75,0.07
wildfire,0.153,20110,China,12500,0.892,7,0.04
hurricane,0.755,138778,Philippines,3500,0.982,361,0.29
wildfire,0.298,34616,Turkey,9600,0.354,31,0.05
earthquake,0.877,222308,Chile,15000,0.508,623,2.96
hurricane,0.086,7860,Japan,40000,0.17,2,0.01
tornado,0.961,2284,Brazil,8700,0.14,13,0.01
tornado,0.706,23348,Pakistan,1500,0.761,19,0.05
hurricane,0.048,144603,Philippines,3500,0.857,31,0.05
volcano,0.094,27660,Indonesia,4300,0.312,7,0.0
tornado,0.953,15944,Philippines,3500,0.428,79,0.05
hurricane,0.653,31842,India,2100,0.627,125,0.04
wildfire,0.362,97704,Nepal,1200,0.702,205,0.04
hurricane,0.508,59800,Haiti,1400,0.59,214,0.07
hurricane,0.49,185575,Chile,15000,0.879,141,2.19
tsunami,0.502,127412,Mexico,10000,0.437,470,0.21
volcano,0.965,61304,China,12500,0.614,76,1.05
wildfire,0.546,8232,Mexico,10000,0.525,44,0.06
drought,0.397,6780,Japan,40000,0.851,18,0.04
hurricane,0.155,36838,Mexico,10000,0.724,40,0.07
wildfire,0.35,4020,Nigeria,2100,0.663,5,0.01
drought,0.937,96908,Haiti,1400,0.604,514,0.11
wildfire,0.241,5112,Chile,15000,0.871,7,0.03
wildfire,0.385,10851,Mexico,10000,0.479,34,0.1
earthquake,0.993,50798,USA,63000,0.889,33,4.34
drought,0.445,108382,Japan,40000,0.312,111,2.85
tsunami,0.508,86666,Australia,55000,0.121,135,1.82
drought,0.869,109284,Indonesia,4300,0.847,400,0.76
landslide,0.742,4576,Brazil,8700,0.671,15,0.05
hurricane,0.162,4186,Pakistan,1500,0.596,3,0.0
earthquake,0.239,54521,Brazil,8700,0.953,69,0.12
wildfire,0.76,15456,Haiti,1400,0.632,34,0.02
hurricane,0.178,775,Mexico,10000,0.547,0,0.0
hurricane,0.405,107722,Mexico,10000,0.425,167,0.83
landslide,0.333,8836,Nepal,1200,0.565,21,0.0
earthquake,0.711,54827,Australia,55000,0.186,90,1.62
tsunami,0.331,165447,Turkey,9600,0.295,139,0.27
hurricane,0.865,55482,Philippines,3500,0.666,578,0.27
hurricane,0.84,5206,Chile,15000,0.74,10,0.08
flood,0.217,49216,Turkey,9600,0.495,42,0.11
volcano,0.705,4626,Bangladesh,2500,0.211,16,0.0
drought,0.957,65870,Turkey,9600,0.124,261,0.26
flood,0.952,106136,Nepal,1200,0.788,304,0.1
hurricane,0.102,10526,Philippines,3500,0.913,7,0.0
hurricane,0.465,2740,Nepal,1200,0.849,2,0.0
earthquake,0.371,24843,Australia,55000,0.144,19,0.34
volcano,0.942,43420,USA,63000,0.664,23,7.71
wildfire,0.926,47844,Haiti,1400,0.721,138,0.05
volcano,0.587,13587,India,2100,0.524,11,0.02
volcano,0.697,99226,Australia,55000,0.97,55,2.7
tsunami,0.434,36361,Nigeria,2100,0.742,97,0.02
landslide,0.034,106676,USA,63000,0.611,6,0.28
landslide,0.312,27793,Bangladesh,2500,0.702,24,0.01
flood,0.257,91178,Bangladesh,2500,0.183,726,0.07
earthquake,0.608,40267,Mexico,10000,0.99,53,0.15
flood,0.048,129638,Nepal,1200,0.526,48,0.0
volcano,0.754,78103,Bangladesh,2500,0.481,415,0.08
flood,0.34,11329,Indonesia,4300,0.29,16,0.01
hurricane,0.146,16525,Haiti,1400,0.237,12,0.0
wildfire,0.077,28481,Indonesia,4300,0.76,11,0.01
tsunami,0.837,50881,USA,63000,0.797,43,2.33
flood,0.35,3435,Nepal,1200,0.743,4,0.0
wildfire,0.289,43617,Indonesia,4300,0.444,49,0.06
earthquake,0.297,125914,India,2100,0.197,532,0.11
hurricane,0.849,9731,Chile,15000,0.872,16,0.14
drought,0.836,9313,Turkey,9600,0.933,17,0.15
tornado,0.615,21999,Bangladesh,2500,0.421,70,0.03
tsunami,0.807,54207,Bangladesh,2500,0.96,58,0.18
drought,0.222,43444,Haiti,1400,0.343,40,0.01
tornado,0.83,104562,Bangladesh,2500,0.849,280,0.22
hurricane,0.081,62778,Nigeria,2100,0.75,9,0.01
drought,0.729,47553,Australia,55000,0.294,32,3.62
earthquake,0.935,17503,Brazil,8700,0.214,257,0.09
landslide,0.602,2442,Bangladesh,2500,0.92,9,0.0
tornado,0.2,39317,Philippines,3500,0.152,130,0.01
hurricane,0.92,27414,USA,63000,0.253,54,1.7
hurricane,0.487,60919,Chile,15000,0.84,166,1.41
volcano,0.945,38843,Nigeria,2100,0.18,173,0.07
wildfire,0.017,71135,Pakistan,1500,0.387,8,0.0
tornado,0.319,10260,Nigeria,2100,0.633,10,0.0
volcano,0.66,42950,Mexico,10000,0.378,363,0.18
flood,0.395,32645,China,12500,0.897,37,0.26
flood,0.103,6548,USA,63000,0.226,1,0.04
landslide,0.292,16323,Haiti,1400,0.446,5,0.01
earthquake,0.174,72500,Haiti,1400,0.827,42,0.01
flood,0.083,21735,China,12500,0.639,5,0.01
earthquake,0.744,55476,Nepal,1200,0.788,74,0.05
wildfire,0.43,34711,China,12500,0.344,9,0.32
drought,0.658,159329,USA,63000,0.406,291,4.16
tsunami,0.149,23112,Bangladesh,2500,0.674,9,0.01
hurricane,0.358,3341,Nepal,1200,0.299,4,0.0
volcano,0.537,38527,USA,63000,0.98,9,1.04
flood,0.995,21936,Nigeria,2100,0.76,138,0.12
wildfire,0.834,100046,Turkey,9600,0.965,203,1.26
volcano,0.898,125380,Mexico,10000,0.52,436,1.08
tsunami,0.724,2649,Indonesia,4300,0.346,16,0.02
volcano,0.356,85189,Bangladesh,2500,0.947,41,0.08
earthquake,0.8,5199,Bangladesh,2500,0.468,23,0.01
drought,0.772,41759,USA,63000,0.48,46,3.34
drought,0.516,125593,Pakistan,1500,0.556,293,0.13
hurricane,0.522,30130,Japan,40000,0.965,40,1.06
flood,0.351,22690,India,2100,0.146,100,0.0
wildfire,0.222,33997,India,2100,0.217,13,0.02
tsunami,0.673,100565,Philippines,3500,0.385,384,0.33
landslide,0.434,53648,Bangladesh,2500,0.57,144,0.08
wildfire,0.754,5285,Nepal,1200,0.552,35,0.0
landslide,0.438,24966,USA,63000,0.532,8,0.39
tornado,0.998,61314,Chile,15000,0.813,104,2.02
tsunami,0.331,36933,Brazil,8700,0.694,73,0.15
tsunami,0.61,35811,Chile,15000,0.754,57,0.42
hurricane,0.304,41100,Turkey,9600,0.809,11,0.16
tsunami,0.558,63044,Nepal,1200,0.583,203,0.05
drought,0.882,58844,Nepal,1200,0.29,266,0.01
hurricane,0.144,28939,Pakistan,1500,0.297,36,0.01
earthquake,0.787,21401,Australia,55000,0.602,36,1.08
landslide,0.194,234562,Bangladesh,2500,0.583,212,0.04
tornado,0.372,4633,Australia,55000,0.256,4,0.06
tornado,0.801,841,Bangladesh,2500,0.251,5,0.0
wildfire,0.27,186505,Haiti,1400,0.638,56,0.06
hurricane,0.544,8523,India,2100,0.4,22,0.01
landslide,0.181,131354,Indonesia,4300,0.958,46,0.2
flood,0.356,42482,Mexico,10000,0.568,58,0.15
hurricane,0.068,32747,Brazil,8700,0.98,4,0.05
earthquake,0.571,42891,Japan,40000,0.438,149,0.83
hurricane,0.905,71498,Indonesia,4300,0.528,478,0.43
drought,0.416,26143,Bangladesh,2500,0.636,30,0.03
wildfire,0.459,37881,Turkey,9600,0.345,86,0.08
wildfire,0.843,4842,Indonesia,4300,0.165,25,0.02
drought,0.166,1387,Bangladesh,2500,0.28,1,0.0
hurricane,0.041,4375,Brazil,8700,0.53,2,0.0
wildfire,0.546,53175,Philippines,3500,0.13,193,0.04
tsunami,0.584,4459,India,2100,0.681,14,0.01
hurricane,0.752,78387,India,2100,0.986,227,0.3
hurricane,0.935,28927,Japan,40000,0.237,91,0.53
wildfire,0.837,29301,Brazil,8700,0.453,86,0.15
wildfire,0.225,22931,Pakistan,1500,0.391,31,0.0
earthquake,0.747,11896,Turkey,9600,0.928,26,0.17
hurricane,0.737,1991,Philippines,3500,0.986,12,0.01
hurricane,0.884,38206,Australia,55000,0.348,112,1.06
landslide,0.539,26563,Turkey,9600,0.46,24,0.06
volcano,0.467,54582,Haiti,1400,0.6,72,0.04
wildfire,0.848,4196,USA,63000,0.688,15,0.16
drought,0.117,124099,Pakistan,1500,0.973,27,0.05
drought,0.704,68689,Indonesia,4300,0.535,386,0.69
tsunami,0.935,24805,USA,63000,0.404,95,1.33
tsunami,0.471,15051,Haiti,1400,0.562,59,0.01
landslide,0.096,18640,Brazil,8700,0.263,12,0.01
flood,0.374,7502,Brazil,8700,0.38,11,0.05
hurricane,0.894,38863,China,12500,0.98,43,0.66
hurricane,0.388,71250,Philippines,3500,0.653,110,0.08
tornado,0.984,46736,China,12500,0.55,385,0.44
tornado,0.774,31488,China,12500,0.465,60,0.24
drought,0.103,54658,India,2100,0.348,21,0.02
tornado,0.497,116268,Australia,55000,0.664,104,11.08
